

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
196.273  000.310  000.193: require('mason-core.purl')
196.282  000.455  000.146: require('mason-core.package')
196.855  000.262  000.262: require('mason-core.process')
197.085  000.227  000.227: require('mason-core.spawn')
197.089  000.627  000.138: require('mason-core.managers.powershell')
197.091  000.807  000.180: require('mason-core.fetch')
197.748  000.612  000.612: require('mason-core.providers')
198.284  000.187  000.187: require('mason-core.installer.registry.expr')
198.293  000.334  000.146: require('mason-core.installer.registry.link')
198.951  000.129  000.129: require('mason-core.receipt')
198.968  000.273  000.144: require('mason-core.installer.context')
199.084  000.114  000.114: require('mason-core.async.control')
199.212  000.125  000.125: require('mason-core.installer.linker')
199.217  000.650  000.137: require('mason-core.installer')
199.229  000.801  000.151: require('mason-core.installer.managers.std')
199.231  000.936  000.136: require('mason-core.installer.registry.schemas')
199.237  001.487  000.217: require('mason-core.installer.registry')
199.249  003.549  000.187: require('mason-registry.sources.github')
205.317  000.311  000.311: require('mason-core.functional.number')
205.341  000.676  000.366: require('mason-lspconfig.api.command')
206.601  000.023  000.023: sourcing /Users/alex/.local/share/nvim/lazy/nvim-ts-rainbow2/autoload/ts_rainbow.vim
206.995  000.130  000.130: require('ts-rainbow.lib')
207.371  000.124  000.124: require('ts-rainbow.stack')
207.374  000.260  000.136: require('ts-rainbow.strategy.global')
207.516  000.140  000.140: require('ts-rainbow.strategy.local')
207.519  000.521  000.121: require('ts-rainbow')
207.520  000.866  000.216: require('ts-rainbow.module')
207.645  001.927  001.037: sourcing /Users/alex/.local/share/nvim/lazy/nvim-ts-rainbow2/plugin/rainbow.vim
208.368  000.187  000.187: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/editorconfig.lua
208.791  000.193  000.193: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/gzip.vim
209.112  000.015  000.015: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/health.vim
209.570  000.247  000.247: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/man.lua
213.753  000.157  000.157: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
214.050  004.216  004.059: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/matchit.vim
214.530  000.196  000.196: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/matchparen.vim
214.954  000.104  000.104: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/netrwPlugin.vim
215.350  000.115  000.115: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/nvim.lua
215.683  000.186  000.186: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/rplugin.vim
215.904  000.074  000.074: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/shada.vim
216.085  000.023  000.023: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/spellfile.vim
216.356  000.113  000.113: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/tarPlugin.vim
216.835  000.194  000.194: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/tohtml.vim
217.291  000.024  000.024: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/tutor.vim
217.936  000.269  000.269: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/plugin/zipPlugin.vim
218.848  000.277  000.277: require('cmp_nvim_lua')
218.886  000.459  000.182: sourcing /Users/alex/.local/share/nvim/lazy/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
219.543  000.208  000.208: require('cmp_nvim_lsp_signature_help')
219.600  000.431  000.223: sourcing /Users/alex/.local/share/nvim/lazy/cmp-nvim-lsp-signature-help/after/plugin/cmp_nvim_lsp_signature_help.lua
220.170  000.170  000.170: require('cmp_vsnip')
220.191  000.311  000.141: sourcing /Users/alex/.local/share/nvim/lazy/cmp-vsnip/after/plugin/cmp_vsnip.lua
220.936  000.142  000.142: require('cmp_nvim_lsp.source')
220.941  000.330  000.188: require('cmp_nvim_lsp')
221.003  000.501  000.171: sourcing /Users/alex/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
221.527  000.158  000.158: require('cmp_path')
221.545  000.269  000.110: sourcing /Users/alex/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
221.601  212.788  054.746: sourcing /Users/alex/.config/nvim/init.lua
221.634  001.717: sourcing vimrc file(s)
222.905  000.106  000.106: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/filetype.lua
223.563  000.089  000.089: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/syntax/synload.vim
223.729  000.588  000.499: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/syntax/syntax.vim
223.748  001.420: inits 3
230.697  006.950: reading ShaDa
231.103  000.406: opening buffers
258.441  000.237  000.237: require('gitsigns.util')
258.707  000.259  000.259: require('gitsigns.subprocess')
259.453  000.248  000.248: require('gitsigns.signs.base')
259.459  000.504  000.256: require('gitsigns.signs')
259.755  000.293  000.293: require('gitsigns.status')
259.763  001.051  000.255: require('gitsigns.hunks')
259.841  001.994  000.446: require('gitsigns.git')
260.388  000.247  000.247: require('gitsigns.cache')
260.736  000.342  000.342: require('gitsigns.debounce')
261.041  000.295  000.295: require('gitsigns.diff')
261.059  001.214  000.331: require('gitsigns.manager')
261.386  000.325  000.325: require('gitsigns.highlight')
261.403  004.056  000.523: require('gitsigns.attach')
261.748  000.330  000.330: require('gitsigns.signs.vimfn')
262.839  000.321  000.321: require('gitsigns.current_line_blame')
275.251  000.326  000.326: require('mason-core.functional.type')
288.633  002.748  002.748: sourcing /Users/alex/.local/share/nvim/lazy/copilot.vim/autoload/copilot/agent.vim
